trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.16584943107748523, 'e': 0.9106259567216819}",20,0,-179.67655360142356,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
72,False,"{'a': 0.16256539231083117, 'e': 0.9081301906949609}",25,11,-141.6656668058052,"{0: 5, 1: 0, 2: 7, 3: 0, 4: 2}",1
73,False,"{'a': 0.1593463818686689, 'e': 0.9056017320794529}",30,0,-316.68153354483604,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 5}",0
74,False,"{'a': 0.15619111210390085, 'e': 0.903040671899395}",25,0,-122.8362768051035,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
75,False,"{'a': 0.1530983208665503, 'e': 0.9004471023526769}",25,0,-247.25146105458882,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",0
76,False,"{'a': 0.15006677099888455, 'e': 0.8978211168075223}",35,0,-229.85059540384847,"{0: 21, 1: 0, 2: 9, 3: 2, 4: 3}",1
77,False,"{'a': 0.1470952498405353, 'e': 0.8951628097991272}",30,0,-229.05525992495677,"{0: 15, 1: 0, 2: 12, 3: 0, 4: 3}",0
78,False,"{'a': 0.1441825687434184, 'e': 0.8924722770262568}",35,11,-108.92854369116547,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 2}",1
79,False,"{'a': 0.14132756259625875, 'e': 0.8897496153478003}",30,0,-146.8360997486579,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
80,False,"{'a': 0.13852908935853026, 'e': 0.8869949227792842}",25,0,-86.14362795416339,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.13578602960362432, 'e': 0.8842082984893433}",20,0,-110.42966337889015,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
82,False,"{'a': 0.13309728607106433, 'e': 0.8813898427961513}",25,0,-161.5966604141561,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
83,False,"{'a': 0.13046178322758697, 'e': 0.8785396571638084}",35,0,-280.74500891436406,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 5}",0
84,False,"{'a': 0.12787846683691426, 'e': 0.87565784419869}",25,9,8.20808048045501,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.12534630353804524, 'e': 0.8727445076457513}",25,0,-143.21192038827098,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
86,False,"{'a': 0.1228642804318978, 'e': 0.8697997523847936}",20,0,-121.68110563071292,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
